/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1930/sgns_rand_pinit3/sgns_rand_pinit3
cultural,cultural,cultural
social,social,social
geographical,economic,economic
economic,geographical,geographical
culture,co-operative,culture
educational,culture,trait
co-operative,trait,co-operative
talents,relationships,functional
functions,racial,talents
trait,environment,fundamental
racial,religious,aesthetic
aesthetic,functions,biological
functional,educational,moral
moral,insight,racial
ethical,fundamental,political
biological,talents,functions
intellectual,intellectual,ideals
ideals,functional,intellectual
mental,political,religious
community,physical,insight
science,mental,environment
advancement,moral,emotional
human,biological,educational
environment,distribution,preservation
achievements,organic,abilities
