/Users/piasommerauer/Data/dsm/coha/coha_1900/sgns_rand_pinit1/sgns_rand_pinit1,/Users/piasommerauer/Data/dsm/coha/coha_1900/sgns_rand_pinit2/sgns_rand_pinit2,/Users/piasommerauer/Data/dsm/coha/coha_1900/sgns_rand_pinit3/sgns_rand_pinit3
racial,racial,racial
race,race,race
political,individuality,mutual
economic,political,political
social,characteristic,differences
individuality,social,inherent
diversity,development,ideals
distinctive,unity,republics
republics,personal,marked
differences,fertility,linguistic
unnatural,ancestral,intellectual
national,inherent,integrity
characteristic,expansion,distinctive
instinctive,intellectual,individuality
passions,national,transportation
everlasting,unique,types
fertility,republics,individual
unity,linguistic,diversity
marked,religious,personal
integrity,mankind,development
linguistic,differences,national
peculiarities,instinctive,unnatural
ideals,individual,warfare
aspects,transportation,unity
personal,distinctive,universal
