pinit1,rank in pinit2
religious,4
nationalism,1
tendencies,2
political,23
moral,7
consciousness,34
peoples,22
aesthetic,69
economic,12
fundamental,29
race,5
prejudice,39
physiological,57
heritage,50
differences,54
human,31
social,3
nationalist,8
biological,9
types,81
element,17
ethical,19
subjective,10
outstanding,186
traits,6
