pinit2,rank in pinit3
nationalism,1
tendencies,2
social,5
religious,3
race,17
traits,10
moral,4
nationalist,50
biological,7
subjective,11
liberalism,14
economic,8
similarity,21
spiritual,93
tribal,18
substances,176
element,42
specific,73
ethical,12
mathematical,44
basic,49
peoples,6
political,9
complex,61
islam,221
