pinit1,rank in pinit3
religious,3
nationalism,1
tendencies,2
political,9
moral,4
consciousness,40
peoples,6
aesthetic,28
economic,8
fundamental,25
race,17
prejudice,13
physiological,34
heritage,71
differences,19
human,39
social,5
nationalist,50
biological,7
types,27
element,42
ethical,12
subjective,11
outstanding,191
traits,10
