pinit2,rank in pinit1
nationalism,2
tendencies,3
social,17
religious,1
race,11
traits,25
moral,5
nationalist,18
biological,19
subjective,23
liberalism,73
economic,9
similarity,118
spiritual,95
tribal,71
substances,157
element,21
specific,31
ethical,22
mathematical,50
basic,108
peoples,7
political,4
complex,34
islam,154
