pinit1,rank in pinit3
race,1
political,3
economic,65
social,37
individuality,13
diversity,17
distinctive,12
republics,7
differences,4
unnatural,21
national,20
characteristic,39
instinctive,30
passions,79
everlasting,222
fertility,36
unity,23
marked,8
integrity,11
linguistic,9
peculiarities,130
ideals,6
aspects,32
personal,18
morality,44
