pinit2,rank in pinit3
race,1
individuality,13
political,3
characteristic,39
social,37
development,19
unity,23
personal,18
fertility,36
ancestral,46
inherent,5
expansion,61
intellectual,10
national,20
unique,59
republics,7
linguistic,9
religious,147
mankind,72
differences,4
instinctive,30
individual,16
transportation,14
distinctive,12
ideals,6
