pinit3,rank in pinit2
race,1
mutual,79
political,3
differences,20
inherent,11
ideals,25
republics,16
marked,109
linguistic,17
intellectual,13
integrity,128
distinctive,24
individuality,2
transportation,23
types,352
individual,22
diversity,56
personal,8
development,6
national,14
unnatural,43
warfare,51
unity,7
universal,272
theme,136
