pinit3,rank in pinit1
race,1
mutual,58
political,2
differences,9
inherent,60
ideals,22
republics,8
marked,18
linguistic,20
intellectual,50
integrity,19
distinctive,7
individuality,5
transportation,95
types,426
individual,57
diversity,6
personal,24
development,27
national,11
unnatural,10
warfare,35
unity,17
universal,74
theme,41
