pinit2,rank in pinit1
race,1
individuality,5
political,2
characteristic,12
social,4
development,27
unity,17
personal,24
fertility,16
ancestral,72
inherent,60
expansion,61
intellectual,50
national,11
unique,37
republics,8
linguistic,20
religious,128
mankind,28
differences,9
instinctive,13
individual,57
transportation,95
distinctive,7
ideals,22
