pinit1,rank in pinit2
race,1
political,3
economic,27
social,5
individuality,2
diversity,56
distinctive,24
republics,16
differences,20
unnatural,43
national,14
characteristic,4
instinctive,21
passions,61
everlasting,287
fertility,9
unity,7
marked,109
integrity,128
linguistic,17
peculiarities,35
ideals,25
aspects,55
personal,8
morality,431
