,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-has_skin,0.5641025641025642,0.6875,0.4782608695652174,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-has_skin,0.5641025641025642,0.6875,0.4782608695652174,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-has_skin,0.5641025641025642,0.6875,0.4782608695652174,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-has_skin,0.55,0.6470588235294118,0.4782608695652174,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-has_skin,0.5263157894736841,0.6666666666666666,0.43478260869565216,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-has_skin,0.5128205128205128,0.625,0.43478260869565216,22
word2vec_google_news-nearest_neighbors-100-loo-has_skin,0.42857142857142855,0.47368421052631576,0.391304347826087,22
word2vec_google_news-nearest_neighbors-200-loo-has_skin,0.3773584905660377,0.3333333333333333,0.43478260869565216,22
word2vec_google_news-logistic_regression-default-loo-has_skin,0.3571428571428571,1.0,0.21739130434782608,22
word2vec_google_news-nearest_neighbors-300-loo-has_skin,0.3448275862068965,0.2857142857142857,0.43478260869565216,22
word2vec_google_news-nearest_neighbors-500-loo-has_skin,0.3384615384615384,0.2619047619047619,0.4782608695652174,22
word2vec_google_news-nearest_neighbors-600-loo-has_skin,0.3283582089552239,0.25,0.4782608695652174,22
word2vec_google_news-nearest_neighbors-400-loo-has_skin,0.32786885245901637,0.2631578947368421,0.43478260869565216,22
word2vec_google_news-nearest_neighbors-700-loo-has_skin,0.3188405797101449,0.2391304347826087,0.4782608695652174,22
word2vec_google_news-nearest_neighbors-800-loo-has_skin,0.3142857142857143,0.23404255319148937,0.4782608695652174,22
word2vec_google_news-nearest_neighbors-900-loo-has_skin,0.2972972972972973,0.21568627450980393,0.4782608695652174,22
word2vec_google_news-nearest_neighbors-1000-loo-has_skin,0.2894736842105263,0.20754716981132076,0.4782608695652174,22
