,f1,p,r,oov
word2vec_google_news-nearest_neighbors-900-loo-made_of_cotton,0.6818181818181819,0.7894736842105263,0.6,22
word2vec_google_news-nearest_neighbors-1000-loo-made_of_cotton,0.6818181818181819,0.7894736842105263,0.6,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-made_of_cotton,0.6808510638297872,0.7272727272727273,0.64,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-made_of_cotton,0.6808510638297872,0.7272727272727273,0.64,22
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-made_of_cotton,0.6808510638297872,0.7272727272727273,0.64,22
word2vec_google_news-nearest_neighbors-700-loo-made_of_cotton,0.6666666666666666,0.8235294117647058,0.56,22
word2vec_google_news-nearest_neighbors-800-loo-made_of_cotton,0.6666666666666666,0.8235294117647058,0.56,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-made_of_cotton,0.6521739130434783,0.7142857142857143,0.6,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-made_of_cotton,0.6521739130434783,0.7142857142857143,0.6,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-made_of_cotton,0.6363636363636364,0.7368421052631579,0.56,22
word2vec_google_news-nearest_neighbors-600-loo-made_of_cotton,0.6,0.8,0.48,22
word2vec_google_news-nearest_neighbors-400-loo-made_of_cotton,0.5789473684210525,0.8461538461538461,0.44,22
word2vec_google_news-nearest_neighbors-500-loo-made_of_cotton,0.5641025641025641,0.7857142857142857,0.44,22
word2vec_google_news-logistic_regression-default-loo-made_of_cotton,0.5641025641025641,0.7857142857142857,0.44,22
word2vec_google_news-nearest_neighbors-300-loo-made_of_cotton,0.45714285714285713,0.8,0.32,22
word2vec_google_news-nearest_neighbors-200-loo-made_of_cotton,0.45714285714285713,0.8,0.32,22
word2vec_google_news-nearest_neighbors-100-loo-made_of_cotton,0.42424242424242425,0.875,0.28,22
