,f1,p,r,oov
word2vec_google_news-neural_net_classification-default-ordered-2018-07-04-13-02-47-328868-has_wings,0.86,0.8775510204081632,0.8431372549019608,22
word2vec_google_news-neural_net_classification-default-reverse-2018-07-05-14:31:24-069647-has_wings,0.86,0.8775510204081632,0.8431372549019608,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-11-14:12:01-396676-loo-has_wings,0.86,0.8775510204081632,0.8431372549019608,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-10:55:14-270309-has_wings,0.8514851485148515,0.86,0.8431372549019608,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-13-09:31:42-012923-loo-has_wings,0.8484848484848485,0.875,0.8235294117647058,22
word2vec_google_news-neural_net_classification-default-shuff-2018-07-05-22:01:55-841390-has_wings,0.8367346938775511,0.8723404255319149,0.803921568627451,22
word2vec_google_news-logistic_regression-default-loo-has_wings,0.7777777777777778,0.8974358974358975,0.6862745098039216,22
word2vec_google_news-nearest_neighbors-500-loo-has_wings,0.5813953488372093,0.7142857142857143,0.49019607843137253,22
word2vec_google_news-nearest_neighbors-400-loo-has_wings,0.5647058823529412,0.7058823529411765,0.47058823529411764,22
word2vec_google_news-nearest_neighbors-900-loo-has_wings,0.5625,0.6,0.5294117647058824,22
word2vec_google_news-nearest_neighbors-600-loo-has_wings,0.5617977528089888,0.6578947368421053,0.49019607843137253,22
word2vec_google_news-nearest_neighbors-800-loo-has_wings,0.5591397849462365,0.6190476190476191,0.5098039215686274,22
word2vec_google_news-nearest_neighbors-700-loo-has_wings,0.5591397849462365,0.6190476190476191,0.5098039215686274,22
word2vec_google_news-nearest_neighbors-1000-loo-has_wings,0.5567010309278351,0.5869565217391305,0.5294117647058824,22
word2vec_google_news-nearest_neighbors-300-loo-has_wings,0.5185185185185185,0.7,0.4117647058823529,22
word2vec_google_news-nearest_neighbors-200-loo-has_wings,0.4473684210526316,0.68,0.3333333333333333,22
word2vec_google_news-nearest_neighbors-100-loo-has_wings,0.36619718309859156,0.65,0.2549019607843137,22
