pinit2,rank in pinit1
discrimination,6
racism,4
ideological,7
ethnic,2
political,5
blacks,3
cultural,1
gender,8
stereotypes,11
democratic,33
minorities,17
violence,10
poverty,13
culture,16
sexual,18
harassment,36
oppression,9
hispanics,21
religious,12
prejudice,14
injustice,20
abortion,38
gay,27
artistic,46
prosecutors,70
