pinit2,rank in pinit3
discrimination,6
racism,1
ideological,8
ethnic,3
political,2
blacks,5
cultural,4
gender,7
stereotypes,12
democratic,35
minorities,17
violence,13
poverty,23
culture,26
sexual,19
harassment,27
oppression,11
hispanics,47
religious,14
prejudice,9
injustice,10
abortion,28
gay,30
artistic,16
prosecutors,74
