pinit1,rank in pinit3
cultural,4
ethnic,3
blacks,5
racism,1
political,2
discrimination,6
ideological,8
gender,7
oppression,11
violence,13
stereotypes,12
religious,14
poverty,23
prejudice,9
civil,34
culture,26
minorities,17
sexual,19
social,24
injustice,10
hispanics,47
affirmative,20
persecution,49
racist,42
identity,51
