pinit3,rank in pinit2
racism,2
political,5
ethnic,4
cultural,7
blacks,6
discrimination,1
gender,8
ideological,3
prejudice,20
injustice,21
oppression,17
stereotypes,9
violence,12
religious,19
economic,27
artistic,24
minorities,11
culturally,42
sexual,15
affirmative,28
tensions,26
emotional,143
poverty,13
social,36
justice,76
