pinit3,rank in pinit1
racism,4
political,5
ethnic,2
cultural,1
blacks,3
discrimination,6
gender,8
ideological,7
prejudice,14
injustice,20
oppression,9
stereotypes,11
violence,10
religious,12
economic,34
artistic,46
minorities,17
culturally,69
sexual,18
affirmative,22
tensions,31
emotional,192
poverty,13
social,19
justice,43
