pinit3,rank in pinit1
segregation,2
discrimination,1
desegregation,3
political,4
religious,5
integration,32
democracy,7
definition,16
nationalism,14
prejudice,8
race,21
cultural,9
negroes,48
minority,10
subversive,6
referendum,18
tolerance,66
unrest,41
constitutional,109
education,22
prevalent,15
widespread,54
social,11
doctrine,31
poverty,30
