pinit3,rank in pinit2
segregation,2
discrimination,1
desegregation,4
political,8
religious,3
integration,21
democracy,7
definition,17
nationalism,13
prejudice,5
race,77
cultural,6
negroes,20
minority,14
subversive,42
referendum,36
tolerance,61
unrest,230
constitutional,96
education,24
prevalent,83
widespread,43
social,16
doctrine,79
poverty,12
