pinit2,rank in pinit3
discrimination,2
segregation,1
religious,5
desegregation,3
prejudice,10
cultural,12
democracy,7
political,4
doctrines,205
ideological,45
laws,71
poverty,25
nationalism,9
minority,14
unification,66
social,23
definition,8
socialism,27
emotions,28
negroes,13
integration,6
federal,31
crime,29
education,20
rights,408
