pinit2,rank in pinit1
discrimination,1
segregation,2
religious,5
desegregation,3
prejudice,8
cultural,9
democracy,7
political,4
doctrines,36
ideological,38
laws,43
poverty,30
nationalism,14
minority,10
unification,55
social,11
definition,16
socialism,42
emotions,17
negroes,48
integration,32
federal,47
crime,61
education,22
rights,59
